OBJECTID,Vehicle Year,Vehicle Make,Vehicle Model,Vehicle Style,Vehicle Colour,Vehicle Value,Weekday,Recovered,Neighbourhood,Ward,Sector,Reported Date,Occurred Date,Year,Intersection,Division,Census Tract,Time of Day,Councillor,Reported Hour,Occurred Hour,x,y
3267,2019,HYUN,ELN,4DR,WHI,10000,Friday,Y,Overbrook - McArthur,Ward 13 - Rideau-Rockcliffe,Sector 25,4/3/2021 5:00:00 AM,4/2/2021 5:00:00 AM,2021,"LOLA ST, PRINCE ALBERT ST",Central,5050013.00,Evening,Rawlson King,200,2100,371137.9083,5031970.5724
3268,2012,CHEV,ORL,CARRY,GRY,,Friday,Y,Britannia Village,Ward 7 - Bay,Sector 14,9/3/2021 5:00:00 AM,9/3/2021 5:00:00 AM,2021,"BOND ST, FOREST ST",West,5050030.00,Afternoon,Theresa Kavanagh,1500,1200,360515.871,5025039.5169
3269,2011,CHEV,CRU,4DR,GRY,,Tuesday,Y,Whitehaven - Queensway Terrace North,Ward 7 - Bay,Sector 14,5/21/2020 5:00:00 AM,5/19/2020 5:00:00 AM,2020,"GRENON AVE, MICHELE DR",West,5050029.00,Evening,Theresa Kavanagh,1000,1900,359672.8662,5024155.5092
3270,2017,LEXS,RX5,CARRY,GRY,,Friday,N,Riverside South - Leitrim,Ward 22 - Riverside South-Findlay Creek,Sector 35,4/3/2021 5:00:00 AM,4/2/2021 5:00:00 AM,2021,"CEDAR CREEK DR, WOOD ACRES GROVE",East,5050126.03,Evening,Steve Desroches,1000,2200,375779.3282,5019996.8754
3271,2021,JEEP,GCK,CARRY,BLK,100000,Saturday,N,Overbrook - McArthur,Ward 13 - Rideau-Rockcliffe,Sector 25,9/4/2021 5:00:00 AM,9/4/2021 5:00:00 AM,2021,"FORESTLANE PRIV, OAKHAVEN PRIV",Central,5050013.00,Afternoon,Rawlson King,1200,1200,370632.9884,5031710.3785
3272,,,,,REDBLK,2000,Thursday,N,Orléans Village - Chateauneuf,Ward 2 - Orléans West-Innes,Sector 31,5/22/2020 5:00:00 AM,5/21/2020 5:00:00 AM,2020,"BELCOURT BLVD, SUNVIEW DR",East,5050125.05,Evening,Laura Dudas,800,2100,381510.7108,5036782.0252
3273,2011,DODG,,4DR,BLU,,Saturday,Y,New Barrhaven - New Development - Stonebridge,Ward 3 - Barrhaven West,Sector 16,4/3/2021 5:00:00 AM,4/3/2021 5:00:00 AM,2021,"DAMSELFLY WAY, SUNDRAGON WAY",West,5050141.15,Afternoon,David Hill,1500,1500,365119.1207,5011810.568
3274,2012,HYUN,ACC,4DR,SIL,,Saturday,Y,Civic Hospital-Central Park,Ward 16 - River,Sector 21,9/4/2021 5:00:00 AM,9/4/2021 5:00:00 AM,2021,"DRIVEWAY (THE), PRINCE OF WALES DR",Central,5050020.01,Afternoon,Riley Brockington,200,1700,366850.3946,5028133.8912
3275,,,,,,,Friday,Y,Lowertown,Ward 12 - Rideau-Vanier,Sector 24,5/22/2020 5:00:00 AM,5/22/2020 5:00:00 AM,2020,"MURRAY ST, NELSON ST",Central,5050056.00,Evening,Stéphanie Plante,200,2200,368436.897,5032842.5843
3276,2020,LEXS,,CARRY,WHI,70000,Saturday,Y,Riverside South - Leitrim,Ward 22 - Riverside South-Findlay Creek,Sector 35,4/3/2021 5:00:00 AM,4/3/2021 5:00:00 AM,2021,"LONG POINT CIRC, TUNDRA SWAN BAY",East,5050126.03,Night,Steve Desroches,700,100,375286.9494,5020477.7651
