OBJECTID,ID,Reported Date,Reported Hour,Reported Year,Occurred Date,Occurred Hour,Occurred Year,Time of Day,Weekday,Day of Week,Neighbourhood,Sector,Division,Ward,Councillor,Census Tract,Level of Injury,x,y
81,45560,12/9/2022 5:00:00 AM,1700,2022,12/9/2022 5:00:00 AM,1700,2022,Afternoon,Friday,5,Cumberland,37,East,Ward 1 - Orléans East-Cumberland,Matthew Luloff,5050171.06,,385520.498700011,5040943.58349946
82,14761,11/23/2023 5:00:00 AM,600,2023,11/23/2023 5:00:00 AM,600,2023,Morning,Thursday,4,Centrepointe,15,West,Ward 8 - College,Laine Johnson,5050137.05,,361962.079700002,5023163.69949946
83,11213,8/31/2019 5:00:00 AM,0,2019,8/31/2019 5:00:00 AM,0,2019,Night,Saturday,6,Ottawa East,22,Central,Ward 17 - Capital,Shawn Menard,5050015.00,,369670.712900003,5030959.57009946
84,7865,9/28/2020 5:00:00 AM,200,2020,9/28/2020 5:00:00 AM,2300,2020,Evening,Monday,1,Ottawa East,22,Central,Ward 17 - Capital,Shawn Menard,5050015.00,NONE,369468.712900004,5030577.56709946
85,737,5/12/2022 5:00:00 AM,1300,2022,5/12/2022 5:00:00 AM,1300,2022,Afternoon,Thursday,4,Glebe - Dows Lake,22,Central,Ward 14 - Somerset,Ariel Troster,5050036.00,,367530.938200001,5029872.05279946
86,42901,8/3/2019 5:00:00 AM,200,2019,8/3/2019 5:00:00 AM,2200,2019,Evening,Saturday,6,Glebe - Dows Lake,22,Central,Ward 17 - Capital,Shawn Menard,5050019.00,,368113.644300002,5029324.81759946
87,9404,9/7/2019 5:00:00 AM,600,2019,9/7/2019 5:00:00 AM,400,2019,Night,Saturday,6,New Barrhaven - New Development - Stonebridge,16,West,Ward 24 - Barrhaven East,Wilson Lo,5050141.13,MAJOR,366524.700000004,5014368.43209946
88,8307,1/1/2020 5:00:00 AM,800,2020,1/1/2020 5:00:00 AM,400,2020,Night,Wednesday,3,Chapman Mills - Rideau Crest - Davidson Heights,16,West,Ward 24 - Barrhaven East,Wilson Lo,5050141.13,,366688.738900002,5014176.78709946
89,45812,1/28/2021 5:00:00 AM,1000,2021,1/28/2021 5:00:00 AM,200,2021,Night,Thursday,4,Glen Cairn - Kanata South Business Park,13,West,Ward 6 - Stittsville,Glen Gower,5050151.08,,353457.374300002,5014631.29369946
90,4501,5/9/2020 5:00:00 AM,0,2020,5/9/2020 5:00:00 AM,0,2020,Night,Saturday,6,Munster,12,West,Ward 21 - Rideau-Jock,David Brown,5050151.09,NONE,345500.529000002,5007091.39999946
91,12127,7/13/2020 5:00:00 AM,200,2020,7/13/2020 5:00:00 AM,2100,2020,Evening,Monday,1,Munster,12,West,Ward 21 - Rideau-Jock,David Brown,5050151.09,,352538.551000001,4998582.30789946
92,5919,3/30/2018 5:00:00 AM,200,2018,3/30/2018 5:00:00 AM,2100,2018,Evening,Friday,5,Katimavik - Hazeldean,13,West,Ward 4 - Kanata North,Cathy Curry,5050160.06,MAJOR,352851.394000001,5020452.58109946
93,14452,1/29/2023 5:00:00 AM,0,2023,1/29/2023 5:00:00 AM,0,2023,Night,Sunday,7,Emerald Woods - Sawmill Creek,35,East,Ward 10 - Gloucester-Southgate,Jessica Bradley,5050123.01,,371602.731000002,5023574.50989946
94,8903,5/2/2022 5:00:00 AM,200,2022,5/2/2022 5:00:00 AM,2100,2022,Evening,Monday,1,Emerald Woods - Sawmill Creek,35,East,Ward 10 - Gloucester-Southgate,Jessica Bradley,5050123.01,MINOR,372210.735100005,5022640.50299946
